,okrug,counts,mprice_per_meter,mprice_per_month,msquare,price_mean,medprice_per_meter,stdprice_per_meter
2,ЦАО,910,2277.65,115770.44,46.32,105500.75,2340.43,696.91
3,ЗАО,650,1407.31,69289.29,48.93,68859.68,1470.59,183.25
0,САО,4223,1739.33,59646.62,34.82,60563.47,1727.27,409.41
4,ЮЗАО,639,1108.37,43555.55,39.3,43558.94,1125.0,116.59
1,ЮАО,1172,1085.75,41157.06,38.28,41562.51,945.95,399.27
7,СВАО,155,1054.05,37394.04,36.31,38272.56,975.61,296.48
6,ЮВАО,182,915.76,34418.53,38.09,34881.3,874.99,234.46
8,ВАО,142,978.62,33862.45,35.49,34731.22,917.67,307.33
9,НАО (Новомосковский),126,915.11,32445.15,36.71,33593.69,869.0,238.8
5,СЗАО,366,1192.34,29278.4,25.25,30106.58,1250.0,185.28
10,ЗелАО,37,637.35,24162.11,38.62,24614.46,600.0,116.24
11,ТАО (Троицкий),10,646.43,23450.0,37.1,23982.55,622.02,151.49
